#,Nom,Type 1,Type 2,Total,PV,Attaque,Défense,Att. Spé,Déf. Spé,Vitesse,Génération,Légendaire
1,Bulbizarre,Plante,Poison,318,45,49,49,65,65,45,1,False
2,Herbizarre,Plante,Poison,405,60,62,63,80,80,60,1,False
3,Florizarre,Plante,Poison,525,80,82,83,100,100,80,1,False
3,FlorizarreMéga-Florizarre,Plante,Poison,625,80,100,123,122,120,80,1,False
4,Salamèche,Feu,,309,39,52,43,60,50,65,1,False
5,Reptincel,Feu,,405,58,64,58,80,65,80,1,False
6,Dracaufeu,Feu,Vol,534,78,84,78,109,85,100,1,False
6,DracaufeuMéga-Dracaufeu X,Feu,Dragon,634,78,130,111,130,85,100,1,False
6,DracaufeuMéga-Dracaufeu Y,Feu,Vol,634,78,104,78,159,115,100,1,False
7,Carapuce,Eau,,314,44,48,65,50,64,43,1,False
8,Carabaffe,Eau,,405,59,63,80,65,80,58,1,False
9,Tortank,Eau,,530,79,83,100,85,105,78,1,False
9,TortankMéga-Tortank,Eau,,630,79,103,120,135,115,78,1,False
10,Chenipan,Insecte,,195,45,30,35,20,20,45,1,False
11,Chrysacier,Insecte,,205,50,20,55,25,25,30,1,False
12,Papilusion,Insecte,Vol,395,60,45,50,90,80,70,1,False
13,Aspicot,Insecte,Poison,195,40,35,30,20,20,50,1,False
14,Coconfort,Insecte,Poison,205,45,25,50,25,25,35,1,False
15,Dardargnan,Insecte,Poison,395,65,90,40,45,80,75,1,False
15,DardargnanMéga-Dardargnan,Insecte,Poison,495,65,150,40,15,80,145,1,False
16,Roucool,Normal,Vol,251,40,45,40,35,35,56,1,False
17,Roucoups,Normal,Vol,349,63,60,55,50,50,71,1,False
18,Roucarnage,Normal,Vol,479,83,80,75,70,70,101,1,False
18,RoucarnageMéga-Roucarnage,Normal,Vol,579,83,80,80,135,80,121,1,False
19,Rattata,Normal,,253,30,56,35,25,35,72,1,False
20,Rattatac,Normal,,413,55,81,60,50,70,97,1,False
21,Piafabec,Normal,Vol,262,40,60,30,31,31,70,1,False
22,Rapasdepic,Normal,Vol,442,65,90,65,61,61,100,1,False
23,Abo,Poison,,288,35,60,44,40,54,55,1,False
24,Arbok,Poison,,438,60,85,69,65,79,80,1,False
25,Pikachu,Électrik,,320,35,55,40,50,50,90,1,False
26,Raichu,Électrik,,485,60,90,55,90,80,110,1,False
27,Sabelette,Sol,,300,50,75,85,20,30,40,1,False
28,Sablaireau,Sol,,450,75,100,110,45,55,65,1,False
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,False
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,False
31,Nidoqueen,Poison,Sol,505,90,92,87,75,85,76,1,False
32,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,False
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,False
34,Nidoking,Poison,Sol,505,81,102,77,85,75,85,1,False
35,Mélofée,Fée,,323,70,45,48,60,65,35,1,False
36,Mélodelfe,Fée,,483,95,70,73,95,90,60,1,False
37,Goupix,Feu,,299,38,41,40,50,65,65,1,False
38,Feunard,Feu,,505,73,76,75,81,100,100,1,False
39,Rondoudou,Normal,Fée,270,115,45,20,45,25,20,1,False
40,Grodoudou,Normal,Fée,435,140,70,45,85,50,45,1,False
41,Nosferapti,Poison,Vol,245,40,45,35,30,40,55,1,False
42,Nosferalto,Poison,Vol,455,75,80,70,65,75,90,1,False
43,Mystherbe,Plante,Poison,320,45,50,55,75,65,30,1,False
44,Ortide,Plante,Poison,395,60,65,70,85,75,40,1,False
45,Rafflesia,Plante,Poison,490,75,80,85,110,90,50,1,False
46,Paras,Insecte,Plante,285,35,70,55,45,55,25,1,False
47,Parasect,Insecte,Plante,405,60,95,80,60,80,30,1,False
48,Mimitoss,Insecte,Poison,305,60,55,50,40,55,45,1,False
49,Aéromite,Insecte,Poison,450,70,65,60,90,75,90,1,False
50,Taupiqueur,Sol,,265,10,55,25,35,45,95,1,False
51,Triopikeur,Sol,,405,35,80,50,50,70,120,1,False
52,Miaouss,Normal,,290,40,45,35,40,40,90,1,False
53,Persian,Normal,,440,65,70,60,65,65,115,1,False
54,Psykokwak,Eau,,320,50,52,48,65,50,55,1,False
55,Akwakwak,Eau,,500,80,82,78,95,80,85,1,False
56,Férosinge,Combat,,305,40,80,35,35,45,70,1,False
57,Colossinge,Combat,,455,65,105,60,60,70,95,1,False
58,Caninos,Feu,,350,55,70,45,70,50,60,1,False
59,Arcanin,Feu,,555,90,110,80,100,80,95,1,False
60,Ptitard,Eau,,300,40,50,40,40,40,90,1,False
61,Têtarte,Eau,,385,65,65,65,50,50,90,1,False
62,Tartard,Eau,Combat,510,90,95,95,70,90,70,1,False
63,Abra,Psy,,310,25,20,15,105,55,90,1,False
64,Kadabra,Psy,,400,40,35,30,120,70,105,1,False
65,Alakazam,Psy,,500,55,50,45,135,95,120,1,False
65,AlakazamMéga-Alakazam,Psy,,590,55,50,65,175,95,150,1,False
66,Machoc,Combat,,305,70,80,50,35,35,35,1,False
67,Machopeur,Combat,,405,80,100,70,50,60,45,1,False
68,Mackogneur,Combat,,505,90,130,80,65,85,55,1,False
69,Chétiflor,Plante,Poison,300,50,75,35,70,30,40,1,False
70,Boustiflor,Plante,Poison,390,65,90,50,85,45,55,1,False
71,Empiflor,Plante,Poison,490,80,105,65,100,70,70,1,False
72,Tentacool,Eau,Poison,335,40,40,35,50,100,70,1,False
73,Tentacruel,Eau,Poison,515,80,70,65,80,120,100,1,False
74,Racaillou,Roche,Sol,300,40,80,100,30,30,20,1,False
75,Gravalanch,Roche,Sol,390,55,95,115,45,45,35,1,False
76,Grolem,Roche,Sol,495,80,120,130,55,65,45,1,False
77,Ponyta,Feu,,410,50,85,55,65,65,90,1,False
78,Galopa,Feu,,500,65,100,70,80,80,105,1,False
79,Ramoloss,Eau,Psy,315,90,65,65,40,40,15,1,False
80,Flagadoss,Eau,Psy,490,95,75,110,100,80,30,1,False
80,FlagadossMéga-Flagadoss,Eau,Psy,590,95,75,180,130,80,30,1,False
81,Magnéti,Électrik,Acier,325,25,35,70,95,55,45,1,False
82,Magnéton,Électrik,Acier,465,50,60,95,120,70,70,1,False
83,Canarticho,Normal,Vol,352,52,65,55,58,62,60,1,False
84,Doduo,Normal,Vol,310,35,85,45,35,35,75,1,False
85,Dodrio,Normal,Vol,460,60,110,70,60,60,100,1,False
86,Otaria,Eau,,325,65,45,55,45,70,45,1,False
87,Lamantine,Eau,Glace,475,90,70,80,70,95,70,1,False
88,Tadmorv,Poison,,325,80,80,50,40,50,25,1,False
89,Grotadmorv,Poison,,500,105,105,75,65,100,50,1,False
90,Kokiyas,Eau,,305,30,65,100,45,25,40,1,False
91,Crustabri,Eau,Glace,525,50,95,180,85,45,70,1,False
92,Fantominus,Spectre,Poison,310,30,35,30,100,35,80,1,False
93,Spectrum,Spectre,Poison,405,45,50,45,115,55,95,1,False
94,Ectoplasma,Spectre,Poison,500,60,65,60,130,75,110,1,False
94,EctoplasmaMéga-Ectoplasma,Spectre,Poison,600,60,65,80,170,95,130,1,False
95,Onix,Roche,Sol,385,35,45,160,30,45,70,1,False
96,Soporifik,Psy,,328,60,48,45,43,90,42,1,False
97,Hypnomade,Psy,,483,85,73,70,73,115,67,1,False
98,Krabby,Eau,,325,30,105,90,25,25,50,1,False
99,Krabboss,Eau,,475,55,130,115,50,50,75,1,False
100,Voltorbe,Électrik,,330,40,30,50,55,55,100,1,False
101,Électrode,Électrik,,480,60,50,70,80,80,140,1,False
102,Nœunœuf,Plante,Psy,325,60,40,80,60,45,40,1,False
103,Noadkoko,Plante,Psy,520,95,95,85,125,65,55,1,False
104,Osselait,Sol,,320,50,50,95,40,50,35,1,False
105,Ossatueur,Sol,,425,60,80,110,50,80,45,1,False
106,Kicklee,Combat,,455,50,120,53,35,110,87,1,False
107,Tygnon,Combat,,455,50,105,79,35,110,76,1,False
108,Excelangue,Normal,,385,90,55,75,60,75,30,1,False
109,Smogo,Poison,,340,40,65,95,60,45,35,1,False
110,Smogogo,Poison,,490,65,90,120,85,70,60,1,False
111,Rhinocorne,Sol,Roche,345,80,85,95,30,30,25,1,False
112,Rhinoféros,Sol,Roche,485,105,130,120,45,45,40,1,False
113,Leveinard,Normal,,450,250,5,5,35,105,50,1,False
114,Saquedeneu,Plante,,435,65,55,115,100,40,60,1,False
115,Kangourex,Normal,,490,105,95,80,40,80,90,1,False
115,KangourexMéga-Kangourex,Normal,,590,105,125,100,60,100,100,1,False
116,Hypotrempe,Eau,,295,30,40,70,70,25,60,1,False
117,Hypocéan,Eau,,440,55,65,95,95,45,85,1,False
118,Poissirène,Eau,,320,45,67,60,35,50,63,1,False
119,Poissoroy,Eau,,450,80,92,65,65,80,68,1,False
120,Stari,Eau,,340,30,45,55,70,55,85,1,False
121,Staross,Eau,Psy,520,60,75,85,100,85,115,1,False
122,M. Mime,Psy,Fée,460,40,45,65,100,120,90,1,False
123,Insécateur,Insecte,Vol,500,70,110,80,55,80,105,1,False
124,Lippoutou,Glace,Psy,455,65,50,35,115,95,95,1,False
125,Élektek,Électrik,,490,65,83,57,95,85,105,1,False
126,Magmar,Feu,,495,65,95,57,100,85,93,1,False
127,Scarabrute,Insecte,,500,65,125,100,55,70,85,1,False
127,ScarabruteMéga-Scarabrute,Insecte,Vol,600,65,155,120,65,90,105,1,False
128,Tauros,Normal,,490,75,100,95,40,70,110,1,False
129,Magicarpe,Eau,,200,20,10,55,15,20,80,1,False
130,Léviator,Eau,Vol,540,95,125,79,60,100,81,1,False
130,LéviatorMéga-Léviator,Eau,Ténèbres,640,95,155,109,70,130,81,1,False
131,Lokhlass,Eau,Glace,535,130,85,80,85,95,60,1,False
132,Métamorph,Normal,,288,48,48,48,48,48,48,1,False
133,Évoli,Normal,,325,55,55,50,45,65,55,1,False
134,Aquali,Eau,,525,130,65,60,110,95,65,1,False
135,Voltali,Électrik,,525,65,65,60,110,95,130,1,False
136,Pyroli,Feu,,525,65,130,60,95,110,65,1,False
137,Porygon,Normal,,395,65,60,70,85,75,40,1,False
138,Amonita,Roche,Eau,355,35,40,100,90,55,35,1,False
139,Amonistar,Roche,Eau,495,70,60,125,115,70,55,1,False
140,Kabuto,Roche,Eau,355,30,80,90,55,45,55,1,False
141,Kabutops,Roche,Eau,495,60,115,105,65,70,80,1,False
142,Ptéra,Roche,Vol,515,80,105,65,60,75,130,1,False
142,PtéraMéga-Ptéra,Roche,Vol,615,80,135,85,70,95,150,1,False
143,Ronflex,Normal,,540,160,110,65,65,110,30,1,False
144,Artikodin,Glace,Vol,580,90,85,100,95,125,85,1,True
145,Électhor,Électrik,Vol,580,90,90,85,125,90,100,1,True
146,Sulfura,Feu,Vol,580,90,100,90,125,85,90,1,True
147,Minidraco,Dragon,,300,41,64,45,50,50,50,1,False
148,Draco,Dragon,,420,61,84,65,70,70,70,1,False
149,Dracolosse,Dragon,Vol,600,91,134,95,100,100,80,1,False
150,Mewtwo,Psy,,680,106,110,90,154,90,130,1,True
150,MewtwoMéga-Mewtwo X,Psy,Combat,780,106,190,100,154,100,130,1,True
150,MewtwoMéga-Mewtwo Y,Psy,,780,106,150,70,194,120,140,1,True
151,Mew,Psy,,600,100,100,100,100,100,100,1,False
152,Germignon,Plante,,318,45,49,65,49,65,45,2,False
153,Macronium,Plante,,405,60,62,80,63,80,60,2,False
154,Méganium,Plante,,525,80,82,100,83,100,80,2,False
155,Héricendre,Feu,,309,39,52,43,60,50,65,2,False
156,Feurisson,Feu,,405,58,64,58,80,65,80,2,False
157,Typhlosion,Feu,,534,78,84,78,109,85,100,2,False
158,Kaiminus,Eau,,314,50,65,64,44,48,43,2,False
159,Crocrodil,Eau,,405,65,80,80,59,63,58,2,False
160,Aligatueur,Eau,,530,85,105,100,79,83,78,2,False
161,Fouinette,Normal,,215,35,46,34,35,45,20,2,False
162,Fouinar,Normal,,415,85,76,64,45,55,90,2,False
163,Hoothoot,Normal,Vol,262,60,30,30,36,56,50,2,False
164,Noarfang,Normal,Vol,442,100,50,50,76,96,70,2,False
165,Coxy,Insecte,Vol,265,40,20,30,40,80,55,2,False
166,Coxyclaque,Insecte,Vol,390,55,35,50,55,110,85,2,False
167,Mimigal,Insecte,Poison,250,40,60,40,40,40,30,2,False
168,Migalos,Insecte,Poison,390,70,90,70,60,60,40,2,False
169,Nostenfer,Poison,Vol,535,85,90,80,70,80,130,2,False
170,Loupio,Eau,Électrik,330,75,38,38,56,56,67,2,False
171,Lanturn,Eau,Électrik,460,125,58,58,76,76,67,2,False
172,Pichu,Électrik,,205,20,40,15,35,35,60,2,False
173,Mélo,Fée,,218,50,25,28,45,55,15,2,False
174,Toudoudou,Normal,Fée,210,90,30,15,40,20,15,2,False
175,Togepi,Fée,,245,35,20,65,40,65,20,2,False
176,Togetic,Fée,Vol,405,55,40,85,80,105,40,2,False
177,Natu,Psy,Vol,320,40,50,45,70,45,70,2,False
178,Xatu,Psy,Vol,470,65,75,70,95,70,95,2,False
179,Wattouat,Électrik,,280,55,40,40,65,45,35,2,False
180,Lainergie,Électrik,,365,70,55,55,80,60,45,2,False
181,Pharamp,Électrik,,510,90,75,85,115,90,55,2,False
181,PharampMéga-Pharamp,Électrik,Dragon,610,90,95,105,165,110,45,2,False
182,Joliflor,Plante,,490,75,80,95,90,100,50,2,False
183,Marill,Eau,Fée,250,70,20,50,20,50,40,2,False
184,Azumarill,Eau,Fée,420,100,50,80,60,80,50,2,False
185,Simularbre,Roche,,410,70,100,115,30,65,30,2,False
186,Tarpaud,Eau,,500,90,75,75,90,100,70,2,False
187,Granivol,Plante,Vol,250,35,35,40,35,55,50,2,False
188,Floravol,Plante,Vol,340,55,45,50,45,65,80,2,False
189,Cotovol,Plante,Vol,460,75,55,70,55,95,110,2,False
190,Capumain,Normal,,360,55,70,55,40,55,85,2,False
191,Tournegrin,Plante,,180,30,30,30,30,30,30,2,False
192,Héliatronc,Plante,,425,75,75,55,105,85,30,2,False
193,Yanma,Insecte,Vol,390,65,65,45,75,45,95,2,False
194,Axoloto,Eau,Sol,210,55,45,45,25,25,15,2,False
195,Maraiste,Eau,Sol,430,95,85,85,65,65,35,2,False
196,Mentali,Psy,,525,65,65,60,130,95,110,2,False
197,Noctali,Ténèbres,,525,95,65,110,60,130,65,2,False
198,Cornèbre,Ténèbres,Vol,405,60,85,42,85,42,91,2,False
199,Roigada,Eau,Psy,490,95,75,80,100,110,30,2,False
200,Feuforêve,Spectre,,435,60,60,60,85,85,85,2,False
201,Zarbi,Psy,,336,48,72,48,72,48,48,2,False
202,Qulbutoké,Psy,,405,190,33,58,33,58,33,2,False
203,Girafarig,Normal,Psy,455,70,80,65,90,65,85,2,False
204,Pomdepik,Insecte,,290,50,65,90,35,35,15,2,False
205,Foretress,Insecte,Acier,465,75,90,140,60,60,40,2,False
206,Insolourdo,Normal,,415,100,70,70,65,65,45,2,False
207,Scorplane,Sol,Vol,430,65,75,105,35,65,85,2,False
208,Steelix,Acier,Sol,510,75,85,200,55,65,30,2,False
208,SteelixMéga-Steelix,Acier,Sol,610,75,125,230,55,95,30,2,False
209,Snubbull,Fée,,300,60,80,50,40,40,30,2,False
210,Granbull,Fée,,450,90,120,75,60,60,45,2,False
211,Qwilfish,Eau,Poison,430,65,95,75,55,55,85,2,False
212,Cizayox,Insecte,Acier,500,70,130,100,55,80,65,2,False
212,CizayoxMéga-Cizayox,Insecte,Acier,600,70,150,140,65,100,75,2,False
213,Caratroc,Insecte,Roche,505,20,10,230,10,230,5,2,False
214,Scarhino,Insecte,Combat,500,80,125,75,40,95,85,2,False
214,ScarhinoMéga-Scarhino,Insecte,Combat,600,80,185,115,40,105,75,2,False
215,Farfuret,Ténèbres,Glace,430,55,95,55,35,75,115,2,False
216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,False
217,Ursaring,Normal,,500,90,130,75,75,75,55,2,False
218,Limagma,Feu,,250,40,40,40,70,40,20,2,False
219,Volcaropod,Feu,Roche,410,50,50,120,80,80,30,2,False
220,Marcacrin,Glace,Sol,250,50,50,40,30,30,50,2,False
221,Cochignon,Glace,Sol,450,100,100,80,60,60,50,2,False
222,Corayon,Eau,Roche,380,55,55,85,65,85,35,2,False
223,Rémoraid,Eau,,300,35,65,35,65,35,65,2,False
224,Octillery,Eau,,480,75,105,75,105,75,45,2,False
225,Cadoizo,Glace,Vol,330,45,55,45,65,45,75,2,False
226,Démanta,Eau,Vol,465,65,40,70,80,140,70,2,False
227,Airmure,Acier,Vol,465,65,80,140,40,70,70,2,False
228,Malosse,Ténèbres,Feu,330,45,60,30,80,50,65,2,False
229,Démolosse,Ténèbres,Feu,500,75,90,50,110,80,95,2,False
229,DémolosseMéga-Démolosse,Ténèbres,Feu,600,75,90,90,140,90,115,2,False
230,Hyporoi,Eau,Dragon,540,75,95,95,95,95,85,2,False
231,Phanpy,Sol,,330,90,60,60,40,40,40,2,False
232,Donphan,Sol,,500,90,120,120,60,60,50,2,False
233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False
234,Cerfrousse,Normal,,465,73,95,62,85,65,85,2,False
235,Queulorior,Normal,,250,55,20,35,20,45,75,2,False
236,Debugant,Combat,,210,35,35,35,35,35,35,2,False
237,Kapoera,Combat,,455,50,95,95,35,110,70,2,False
238,Lippouti,Glace,Psy,305,45,30,15,85,65,65,2,False
239,Élekid,Électrik,,360,45,63,37,65,55,95,2,False
240,Magby,Feu,,365,45,75,37,70,55,83,2,False
241,Écrémeuh,Normal,,490,95,80,105